,PLAYER_NAME,PLAYER_ID,cluster,cluster_name
147,Goga Bitadze,1629048,9,Backup Bigs
148,Gordon Hayward,202330,6,Backup PGs
149,Gradey Dick,1641711,0,3-and-D Wings
150,Grant Williams,1629684,4,Athletic Forwards
151,Grayson Allen,1628960,0,3-and-D Wings
152,Gui Santos,1630611,10,Stretch Bigs
153,Harrison Barnes,203084,0,3-and-D Wings
154,Harry Giles III,1628385,10,Stretch Bigs
155,Haywood Highsmith,1629312,1,Floor Spacers
156,Herbert Jones,1630529,0,3-and-D Wings
157,Ibou Badji,1630641,9,Backup Bigs
158,Immanuel Quickley,1630193,3,Secondary Scoring Guards
159,Isaac Okoro,1630171,0,3-and-D Wings
160,Isaiah Hartenstein,1628392,2,Rim Runners
161,Isaiah Jackson,1630543,9,Backup Bigs
162,Isaiah Joe,1630198,1,Floor Spacers
163,Isaiah Livers,1630587,1,Floor Spacers
164,Isaiah Stewart,1630191,4,Athletic Forwards
165,Ish Smith,202397,6,Backup PGs
166,Ivica Zubac,1627826,2,Rim Runners
167,JT Thor,1630550,10,Stretch Bigs
168,JaVale McGee,201580,9,Backup Bigs
169,Jabari Smith Jr.,1631095,4,Athletic Forwards
170,Jabari Walker,1631133,10,Stretch Bigs
171,Jacob Gilyard,1631367,6,Backup PGs
172,Jaden Hardy,1630702,6,Backup PGs
173,Jaden Ivey,1631093,3,Secondary Scoring Guards
174,Jaden McDaniels,1630183,0,3-and-D Wings
175,Jaden Springer,1630531,5,Role Players
176,Jae Crowder,203109,1,Floor Spacers
177,Jae'Sean Tate,1630256,1,Floor Spacers
178,Jaime Jaquez Jr.,1631170,0,3-and-D Wings
179,Jake LaRavia,1631222,0,3-and-D Wings
180,Jakob Poeltl,1627751,2,Rim Runners
181,Jalen Brunson,1628973,11,Elite Scoring Guards
182,Jalen Duren,1631105,2,Rim Runners
183,Jalen Green,1630224,3,Secondary Scoring Guards
184,Jalen Hood-Schifino,1641720,5,Role Players
185,Jalen Johnson,1630552,4,Athletic Forwards
186,Jalen McDaniels,1629667,5,Role Players
187,Jalen Pickett,1629618,5,Role Players
188,Jalen Smith,1630188,10,Stretch Bigs
189,Jalen Suggs,1630591,0,3-and-D Wings
190,Jalen Williams,1631114,3,Secondary Scoring Guards
